Property Address,Property Name,Building Class,Building Status,RBA,Total Available Space (SF),Rent/SF/Yr,Secondary Type,City,Percent Leased,Year Built,Year Renovated,Typical Floor Size,Parking Ratio,Ceiling Ht,Column Spacing,Number Of Loading Docks,Power,Rail Lines,Sewer,Building Operating Expenses,Capacity - Available kW,Direct Available Space,Direct Vacant Space,Drive Ins,Sprinklers,Water,Number Of Parking Spaces,Latitude,Longitude
7595 Montevideo Rd,Building 3,B,Existing,260542,,$8.48 - 10.36 (Est.),Warehouse,Jessup,100.00,1975,2014,260542,0.29,"27'0""",25'w x 50'd,26,1600a/277-480v,,,2024 Tax @ $1.2293/sf,,,0,"2/14'0""w x 20'0""h",Wet,,75,39.1645630,-76.7661360
300 Moss Hill Ln,,C,Existing,226000,,$5.22 - 6.38 (Est.),Warehouse,Salisbury,100.00,1952,,200500,0.88,"18'0""",,18,480v,,,2025 Tax @ $0.2162/sf,,,0,4,Wet,,200,38.3758360,-75.5754944
7445 New Ridge Rd,,B,Existing,236750,,$11.14 - 13.62 (Est.),Warehouse,Hanover,100.00,1997,,236750,0.42,"28'0""",40'w x 40'd,44,400a/277-480v,,City,2024 Tax @ $0.4678/sf,,,0,"3/10'0""w x 12'0""h",ESFR,City,100,39.1745940,-76.7012680
11825 Newgate Blvd,Fed-Ex Ground Distribution Facility,A,Existing,340708,,$7.59 - 9.28 (Est.),Distribution,Hagerstown,100.00,2004,,340708,,,,200,,,,,,,0,6,,,,39.6389489,-77.7919219
1200 S Newkirk St,Crown Business Center,B,Existing,324398,,$6.73 - 8.23 (Est.),Warehouse,Baltimore,100.00,1957,,324398,0.69,"24'0""",30'w x 50'd,23,277-480v 3p 4w,CSX,City,2024 Tax @ $0.7219/sf,,,0,"4/10'0""w x 12'0""h",Wet,City,230,39.2786405,-76.5571418
4425A North Point Blvd,North Point Industrial Ctr,B,Existing,224910,,$9.18 - 11.22 (Est.),Warehouse,Edgemere,100.00,1945,,132644,0.38,"30'0""",,1,Heavy,Conrail,City,2024 Tax @ $0.3258/sf,,,0,"1/10'0""w x 12'0""h",,City,50,39.2535410,-76.4635240
4505 North Point Blvd,,B,Existing,235659,,$8.13 - 9.93 (Est.),Warehouse,Edgemere,100.00,1974,,235659,0.21,"24'0""",,10,Heavy,"Patapsco & Back Rivers ",,2024 Tax @ $0.3306/sf,,,0,16,Wet,,50,39.2525250,-76.4624350
5107 North Point Blvd,,B,Existing,485031,,$9.17 - 11.21 (Est.),Warehouse,Sparrows Point,19.89,1945,2017,485031,0.15,"24'0""",20'w x 50'd,35,2800a,,,2024 Tax @ $0.3953/sf,,,388551,"7/12'0""w x 14'0""h",ESFR,,105,39.2357545,-76.4580149
7100 Old Landover Rd,,B,Existing,251227,55382,$11.39 - 13.92 (Est.),Warehouse,Landover,77.96,1964,2014,251227,0.98,"18'0""",40'w x 40'd,27,800a/227-480v 3p 4w,,City,2024 Tax @ $1.3599/sf,,55382,55382,"4/11'0""w x 11'0""h",Wet,City,246,38.9297393,-76.8900430
7270 Park Circle Dr,Parkway 100 Distribution Center,B,Existing,216344,51797,$10.00 - 12.23 (Est.),Warehouse,Hanover,76.06,1977,,216344,0.95,"22'0""",34'w x 43'd,19,2500a/277v 3p,,City,2024 Tax @ $0.6472/sf,,51797,51797,"6/10'0""w x 12'0""h",Wet,City,199,39.1808795,-76.7305869
