Property Address,Property Name,Building Class,Building Status,RBA,Total Available Space (SF),Rent/SF/Yr,Secondary Type,City,Percent Leased,Year Built,Year Renovated,Typical Floor Size,Parking Ratio,Ceiling Ht,Column Spacing,Number Of Loading Docks,Power,Rail Lines,Sewer,Building Operating Expenses,Capacity - Available kW,Direct Available Space,Direct Vacant Space,Drive Ins,Sprinklers,Water,Number Of Parking Spaces,Latitude,Longitude
24-80 Beckwith Ave,Wisconsin Toy,B,Existing,200000,,$11.48 - 14.03 (Est.),Warehouse,Paterson,100.00,1920,,200000,,"16'0""",30'w x 30'd,7,800a,,City,2024 Tax @ $1.3937/sf,,,0,1,Yes,City,,40.9046572,-74.1613600
138 Beckwith Ave,,C,Existing,260000,,$11.51 - 14.07 (Est.),Warehouse,Paterson,100.00,1930,,65000,,"14'0""",,,,,,2024 Tax @ $0.3654/sf,,,0,None,Yes,,,40.9030698,-74.1597826
670 Belleville Tpke,,B,Existing,211418,,$13.85 - 16.93 (Est.),Distribution,Kearny,100.00,2006,,198700,1.16,"36'0""",48'w x 58'd,27,,,City,,,,0,1,ESFR,City,245,40.7672372,-74.1263630
330 Blaisdell Rd,,C,Existing,200000,,$12.71 - 15.54 (Est.),Warehouse,Orangeburg,100.00,1968,,200000,1.00,,28'w x 30'd,3,Heavy,,,,,,0,1,Yes,,200,41.0359570,-73.9788360
30-02 Borden Ave,,C,Existing,250000,,$15.71 - 19.20 (Est.),Warehouse,Long Island City,100.00,1930,,50000,0.08,"15'0""",,6,1200a,,,2024 Tax @ $0.8771/sf,,,0,4,,,20,40.7377337,-73.9389448
155 Broad St,,C,Existing,496584,,$12.66 - 15.47 (Est.),Warehouse,Carlstadt,100.00,1971,,260000,,,,,,,City,,,,0,None,,City,,40.8337315,-74.0808417
301 Broadway,,A,Existing,439015,,$13.56 - 16.57 (Est.),Warehouse,Jersey City,100.00,1945,2014,439015,0.21,"30'0""",30'w x 40'd,43,,,City,2024 Tax @ $2.2399/sf,,,0,4,Wet,City,219,40.7373504,-74.0834936
1055 Bronx River Ave,Building 1,B,Existing,205409,,$15.03 - 18.37 (Est.),Warehouse,Bronx,100.00,1968,,121160,0.43,"21'0""",,9,3000a/120-208v 3p 4w,,,,,,0,3,ESFR,,90,40.8241672,-73.8835355
1601 Bronxdale Ave,,C,Existing,356000,86512,$14.85 - 18.15 (Est.),Warehouse,Bronx,75.70,1949,2020,178000,0.21,"15'0""",25'w x 25'd,28,2000-6000a 3p,,City,2024 Tax @ $3.4659/sf,,86512,86512,"4/10'0""w x 12'0""h",Yes,City,75,40.8430236,-73.8583670
100 Brook Hill Dr,,B,Existing,492795,,$11.96 - 14.62 (Est.),Warehouse,West Nyack,100.00,1966,1994,492795,,"26'0""",30'w x 30'd,15,5800-6300a,,,,,,0,None,Wet,Yes,,41.0930168,-73.9828193
"Brooklyn Navy Yard - Building 128, 28, 123",,C,Existing,215000,,$15.81 - 19.32 (Est.),Warehouse,Brooklyn,100.00,2016,,215000,,,,,,,,,,,0,3,,,107,40.6990726,-73.9747857
Brooklyn Navy Yard - Building 292,,C,Existing,208414,,$16.43 - 20.08 (Est.),Warehouse,Brooklyn,100.00,1935,2000,16500,,"15'0""",,,200a 3p,,,,,,0,None,,,59,40.7051123,-73.9716912
17 Cable Dr,,C,Existing,257481,,$13.67 - 16.71 (Est.),Warehouse,Kearny,100.00,1991,,257481,,"27'0""",40'w x 50'd,4,1200a/277-480v 3p 4w,,City,2024 Tax @ $0.6399/sf,,,0,None,Dry,City,,40.7244414,-74.1174093
205 Campus Dr,,C,Existing,303190,80000,$13.70 - 16.74 (Est.),Warehouse,Kearny,100.00,1940,,303190,0.24,"40'0""",,18,2000a,,,,,80000,0,4,,,75,40.7240074,-74.1064269
1 Canal St,Bldg 1,C,Existing,250000,,$7.21 - 8.82 (Est.),Warehouse,Passaic,100.00,1925,,62500,0.16,"35'0""",,10,200a,,City,2024 Tax @ $0.3570/sf,,,5500,"1/10'0""w x 12'0""h",Dry,City,40,40.8614206,-74.1179634
125 Castle Rd,,C,Existing,311265,,$13.34 - 16.30 (Est.),Warehouse,Secaucus,100.00,1960,,311265,0.90,"22'0""",45'w x 40'd,36,400a/460v,,City,2024 Tax @ $1.4917/sf,,,0,Yes,Wet,City,280,40.7694290,-74.0794680
99A Caven Point Rd,,B,Existing,348000,,$13.68 - 16.72 (Est.),Warehouse,Jersey City,100.00,1994,2001,348000,0.30,"24'0""",42'w x 40'd,45,1200a/277-480v,,City,2024 Tax @ $2.0756/sf,,,0,"1/10'0""w x 12'0""h",Wet,City,150,40.7005786,-74.0720749
200-250 Central Ave,Prologis Meadowlands,B,Existing,212114,51220,$13.47 - 16.46 (Est.),Warehouse,Teterboro,75.85,1965,,212000,0.37,"21'6""",25'w x 40'd,44,2-200a/277-480v,,City,2024 Tax @ $1.0484/sf,,51220,51220,2,Wet,City,79,40.8627944,-74.0511068
1 Century Way,,B,Existing,434000,,$13.28 - 16.23 (Est.),Warehouse,Secaucus,100.00,1959,,434000,0.21,"14'0""",,50,,,City,2024 Tax @ $1.4331/sf,,,0,Yes,,City,125,40.7807233,-74.0660439
2 Colony Rd,,C,Existing,273392,165000,$13.82 - 16.89 (Est.),Warehouse,Jersey City,100.00,1976,,262000,0.00,"24'0""",45'w x 45'd,14,600a,,City,2024 Tax @ $1.7405/sf,,165000,0,8,Wet,City,40,40.6778702,-74.0836033
640 Columbia St,,A,Existing,397020,,$15.50 - 18.95 (Est.),Distribution,Brooklyn,100.00,2022,,132340,0.44,"28'0""",,27,,,,2024 Tax @ $8.4924/sf,,,0,,ESFR,,175,40.6707508,-74.0096856
130-02 S Conduit Ave,Terminal Logistics Center,A,Existing,296210,,$16.39 - 20.03 (Est.),Distribution,Queens,100.00,2023,,74053,0.17,"26'0""",50'w x 50'd,26,,,,,,,0,None,ESFR,,50,40.6658360,-73.8093961
493 County Ave,United Parcel Service,A,Existing,200000,,$13.69 - 16.73 (Est.),Warehouse,Secaucus,100.00,1984,,200000,0.38,,,21,,,City,2024 Tax @ $4.0011/sf,,,0,"4/10'0""w x 12'0""h",,City,75,40.7789800,-74.0599550
4711 Danbury Rd,West Danbury Distribution Park,A,Existing,200000,,$14.61 - 17.85 (Est.),Warehouse,Brewster Village,100.00,2022,,200000,0.00,"36'0""",,,,,,,,,0,None,,,,41.3857069,-73.5678695
125 Delawanna Ave,,B,Existing,361120,,$12.21 - 14.92 (Est.),Warehouse,Clifton,100.00,2002,,361120,0.53,"36'0""",50'w x 51'd,22,3000a,,,2024 Tax @ $2.5479/sf,,,0,,Wet,,190,40.8295763,-74.1292063
670 Dell Rd,Thumann's Inc,B,Existing,250000,,$12.88 - 15.74 (Est.),Warehouse,Carlstadt,100.00,1975,,250000,,"30'0""",30'w x 40'd,6,200a,,City,,,,0,None,Yes,City,,40.8301675,-74.0710868
1 Emerson Ln,Century 21,B,Existing,425000,,$13.55 - 16.56 (Est.),Warehouse,Secaucus,100.00,1977,2015,425000,1.00,"27'0""",43'w x 45'd,20,2000a,,City,2024 Tax @ $1.5810/sf,,,0,1,Wet,City,426,40.7864011,-74.0634511
