Property Address,Property Name,Building Class,Building Status,RBA,Total Available Space (SF),Rent/SF/Yr,Secondary Type,City,Percent Leased,Year Built,Year Renovated,Typical Floor Size,Parking Ratio,Ceiling Ht,Column Spacing,Number Of Loading Docks,Power,Rail Lines,Sewer,Building Operating Expenses,Capacity - Available kW,Direct Available Space,Direct Vacant Space,Drive Ins,Sprinklers,Water,Number Of Parking Spaces,Latitude,Longitude
2525 Monroe Blvd,,B,Existing,370300,72000,$9.33 - 11.40 (Est.),Distribution,Norristown,100.00,1970,,370300,0.22,"28'6""",40'w x 50'd,4,Heavy,,City,2024 Tax @ $0.9390/sf,,0,0,"10/10'0""w x 12'0""h",Wet,City,82,40.1180940,-75.4176151
431 Railroad Ave,,B,Existing,328303,125245,$9.42 - 11.51 (Est.),Warehouse,Camp Hill,83.32,1966,,164152,0.76,"26'0""",40'w x 40'd,27,,,,2025 Tax @ $0.4037/sf,,125245,54752,1,Wet,,249,40.2278116,-76.9601888
15000 Roosevelt Blvd,Building 1,A,Existing,318696,318696,$11.32 - 13.84 (Est.),Distribution,Philadelphia,0.00,2025,,318696,1.27,"36'0""",54'w x 50'd,49,3000-4000a/277-480v 3p 4w,,Yes,,,318696,318696,"2/12'0""w x 14'0""h",ESFR,,404,40.1169694,-74.9861205
Route 424 and I-81,,A,Under Construction,372000,372000,$7.81 - 9.54 (Est.),Distribution,Hazle Township,0.00,2026,,372000,0.80,"38'10""",50'w x 50'd,50,277-480v 3p,,Yes,,,372000,0,"2/12'0""w x 14'0""h",ESFR,Yes,296,40.9270400,-76.0075508
1100 Schwab Rd,D&W Fine Pack Hatfield Facility,B,Existing,301131,123075,$5.97 - 7.29 (Est.),Warehouse,Hatfield,100.00,1982,,301131,0.66,"20'0""",,14,,,,2024 Tax @ $0.7560/sf,,0,0,2,,,200,40.2619248,-75.2896101
1 S Shearer Dr,,B,Existing,470000,260600,$6.98 - 8.53 (Est.),Warehouse,Carlisle,44.55,2003,,470000,0.10,"30'0""",60'w x 52'd,83,2000a/277-480v 3p 3w,,City,2025 Tax @ $0.7766/sf,,260600,260600,"2/12'0""w x 14'0""h",ESFR,City,123,40.1918453,-77.2335872
1065 Strickler Rd,,B,Existing,311315,79115,$8.44 - 10.32 (Est.),Distribution,Mount Joy,74.59,2009,,311312,0.34,"28'0""",40'w x 40'd,11,,,,2024 Tax @ $0.7748/sf,,79115,79115,,Wet,,141,40.1189294,-76.4683972
2001 Carbaugh Ave,Building 1,B,Existing,320000,320000,$5.50,Warehouse,Chambersburg,79.69,1955,,365000,0.00,"16'0""",25'w x 25'd,,500a/480v,,City,2025 Tax @ $22.7566/sf,,320000,65000,10,Dry,City,,39.9960532,-77.6536716
930 Cass St,Bruce Commerce Park,B,Existing,400000,9800,$7.96,Warehouse,New Castle,100.00,1930,2013,400000,1.25,"25'0""",15'w,20,277-380v 3p,,City,,,9800,0,4,Dry,Yes,500,40.9793754,-80.3163746
53 Commerce Dr,Building Two,A,Existing,340869,311486,$9.00,Warehouse,Mechanicsburg,100.00,2017,,340869,0.97,"36'0""",50'w x 54'd,32,3000a,,,2025 Tax @ $0.6179/sf,,205839,0,2,ESFR,,391,40.2361719,-77.0399326
