Property Address,Property Name,Building Class,Building Status,RBA,Total Available Space (SF),Rent/SF/Yr,Secondary Type,City,Percent Leased,Year Built,Year Renovated,Typical Floor Size,Parking Ratio,Ceiling Ht,Column Spacing,Number Of Loading Docks,Power,Rail Lines,Sewer,Building Operating Expenses,Capacity - Available kW,Direct Available Space,Direct Vacant Space,Drive Ins,Sprinklers,Water,Number Of Parking Spaces,Latitude,Longitude
1501 W Edgar Rd,CenterPoint at Linden,A,Existing,321765,,$12.68 - 15.50 (Est.),Distribution,Linden,100.00,2023,,321765,1.05,"40'0""",,62,3000a,,,2024 Tax @ $0.1742/sf,,,0,2,ESFR,,339,40.6116046,-74.2503386
5 Edge Rd,Alpha 78 Logistics Center,A,Existing,450457,450457,$8.98 - 10.97 (Est.),Warehouse,Alpha,0.00,2025,,450457,0.51,"36'0""",,118,300a/277-480v,,,,,450457,450457,4,ESFR,,319,40.6601391,-75.1392780
1 Emerson Ln,Century 21,B,Existing,425000,,$13.55 - 16.56 (Est.),Warehouse,Secaucus,100.00,1977,2015,425000,1.00,"27'0""",43'w x 45'd,20,2000a,,City,2024 Tax @ $1.5810/sf,,,0,1,Wet,City,426,40.7864011,-74.0634511
26 Engelhard Dr,,A,Existing,324540,,$8.76 - 10.70 (Est.),Warehouse,Monroe Township,100.00,1997,,324540,0.44,"32'0""",44'w x 50'd,34,2400a,Norfolk Southern,City,,,,0,"1/14'0""w x 16'0""h",ESFR,City,142,40.3282371,-74.4654260
70 Enterprise Ave,Century 21 Distribution Center,C,Existing,384248,348248,$13.40 - 16.37 (Est.),Warehouse,Secaucus,100.00,1970,,384248,0.33,"21'0""",32'w x 35'd,20,,,City,2024 Tax @ $1.6383/sf,,0,0,"2/10'0""w x 10'0""h",,City,125,40.7798070,-74.0699410
84-88 Executive Ave,268M,B,Existing,303309,88565,$11.59 - 14.17 (Est.),Warehouse,Edison,70.80,1970,,303309,0.08,"28'0""",38'w x 38'd,3,1000a/460-480v 3p,,,2024 Tax @ $1.1801/sf,,88565,88565,"1/12'0""w x 16'0""h",ESFR,,25,40.4975616,-74.3831996
300 Fairfield Rd,Bldg I,B,Existing,417744,,$11.74 - 14.35 (Est.),Distribution,Fairfield,100.00,2006,,417744,1.19,"28'0""",40'w x 60'd,30,8000a/277-480v,,,,,,0,4,ESFR,,398,40.8803933,-74.2852362
330 Fairfield Rd,,B,Existing,420000,,$11.87 - 14.51 (Est.),Warehouse,Fairfield,100.00,1974,,20000,0.75,"25'0""",40'w x 60'd,4,5600a/120-460v 3p 4w,,City,2024 Tax @ $0.1076/sf,,,0,2,Wet,City,15,40.8827966,-74.2844376
400 Fairfield Rd,,A,Existing,368050,,$12.49 - 15.27 (Est.),Warehouse,Freehold,100.00,2023,,368050,0.29,"38'0""",,72,3000a/277v 3p,,City,2024 Tax @ $0.1455/sf,,,0,4,ESFR,City,177,40.2292050,-74.2223307
20 Farinella Dr,Bridge Point East Hanover,A,Existing,314413,113462,$12.36 - 15.11 (Est.),Distribution,East Hanover,63.91,2023,,314413,0.40,"40'0""",54'w x 44'd,58,1200a/270-480v 3p,,,2024 Tax @ $0.4616/sf,,113462,113462,2,ESFR,,187,40.8060570,-74.3781735
1 Flexon Plz,Flexon,C,Existing,330000,,$12.07 - 14.75 (Est.),Warehouse,Newark,100.00,1950,,330000,,,,22,,,City,2024 Tax @ $0.8874/sf,,,0,Yes,,City,,40.7068490,-74.1903190
